episodeIndex,reason,totalReward,validPlacements,invalidPlacements,stepCount,stepScale,wLE,wCGS,wSS,supportRatioMin
2918,failed,-1.417450,4,30,4,0.182742,0.742738,0.290437,0.137391,0.801201
2919,completed,0.991513,3,6,3,0.182742,0.742738,0.290437,0.137391,0.801201
2920,completed,0.866762,4,13,4,0.182742,0.742738,0.290437,0.137391,0.801201
2921,failed,-1.574682,4,33,4,0.182742,0.742738,0.290437,0.137391,0.801201
2922,completed,0.067032,4,29,4,0.182742,0.742738,0.290437,0.137391,0.801201
2923,failed,-1.224976,2,20,2,0.182742,0.742738,0.290437,0.137391,0.801201
2924,failed,-1.279468,2,21,2,0.182742,0.742738,0.290437,0.137391,0.801201
2925,completed,0.903857,4,12,4,0.182742,0.742738,0.290437,0.137391,0.801201
2926,failed,-1.332645,1,20,1,0.182742,0.742738,0.290437,0.137391,0.801201
2927,completed,0.712981,3,12,3,0.182742,0.742738,0.290437,0.137391,0.801201
2928,completed,0.806007,4,13,4,0.182742,0.742738,0.290437,0.137391,0.801201
2929,completed,0.661960,3,13,3,0.182742,0.742738,0.290437,0.137391,0.801201
2930,completed,0.744921,5,17,5,0.182742,0.742738,0.290437,0.137391,0.801201
2931,failed,-2.150483,2,39,2,0.182742,0.742738,0.290437,0.137391,0.801201
2932,failed,-1.414279,2,24,2,0.182742,0.742738,0.290437,0.137391,0.801201
2933,completed,1.157482,4,4,4,0.182742,0.742738,0.290437,0.137391,0.801201
2934,failed,-1.901052,3,37,3,0.182742,0.742738,0.290437,0.137391,0.801201
2935,failed,-1.301199,3,24,3,0.182742,0.742738,0.290437,0.137391,0.801201
2936,failed,-1.194397,3,22,3,0.182742,0.742738,0.290437,0.137391,0.801201
2937,failed,-1.210363,2,20,2,0.182742,0.742738,0.290437,0.137391,0.801201
2938,completed,0.812834,5,16,5,0.182742,0.742738,0.290437,0.137391,0.801201
2939,completed,0.193962,5,27,5,0.182742,0.742738,0.290437,0.137391,0.801201
2940,completed,0.140309,5,30,5,0.182742,0.742738,0.290437,0.137391,0.801201
2941,failed,-1.382645,1,21,1,0.182742,0.742738,0.290437,0.137391,0.801201
2942,completed,0.849574,3,9,3,0.182742,0.742738,0.290437,0.137391,0.801201
2943,completed,0.929150,3,7,3,0.182742,0.742738,0.290437,0.137391,0.801201
2944,completed,0.067948,4,30,4,0.182742,0.742738,0.290437,0.137391,0.801201
2945,completed,1.026287,3,5,3,0.182742,0.742738,0.290437,0.137391,0.801201
2946,failed,-1.480107,1,23,1,0.182742,0.742738,0.290437,0.137391,0.801201
2947,failed,-1.396958,3,26,3,0.182742,0.742738,0.290437,0.137391,0.801201
2948,completed,0.935913,5,11,5,0.182742,0.742738,0.290437,0.137391,0.801201
2949,completed,0.784709,5,17,5,0.182742,0.742738,0.290437,0.137391,0.801201
2950,completed,0.769379,5,17,5,0.182742,0.742738,0.290437,0.137391,0.801201
2951,failed,-1.702737,2,30,2,0.182742,0.742738,0.290437,0.137391,0.801201
2952,completed,1.032846,4,8,4,0.182742,0.742738,0.290437,0.137391,0.801201
2953,completed,0.962482,4,9,4,0.182742,0.742738,0.290437,0.137391,0.801201
2954,completed,1.059614,3,5,3,0.182742,0.742738,0.290437,0.137391,0.801201
2955,completed,0.019379,4,29,4,0.182742,0.742738,0.290437,0.137391,0.801201
2956,completed,0.567444,5,19,5,0.182742,0.742738,0.290437,0.137391,0.801201
2957,failed,-1.631495,3,31,3,0.182742,0.742738,0.290437,0.137391,0.801201
2958,completed,0.717541,4,15,4,0.182742,0.742738,0.290437,0.137391,0.801201
2959,completed,1.162469,3,1,3,0.182742,0.742738,0.290437,0.137391,0.801201
2960,failed,-1.955473,3,37,3,0.182742,0.742738,0.290437,0.137391,0.801201
2961,failed,-1.390486,2,24,2,0.182742,0.742738,0.290437,0.137391,0.801201
2962,failed,-1.554105,2,27,2,0.182742,0.742738,0.290437,0.137391,0.801201
2963,failed,-1.569568,3,30,3,0.182742,0.742738,0.290437,0.137391,0.801201
2964,completed,1.184737,3,2,3,0.182742,0.742738,0.290437,0.137391,0.801201
2965,failed,-1.603680,2,28,2,0.182742,0.742738,0.290437,0.137391,0.801201
2966,completed,1.237273,3,2,3,0.182742,0.742738,0.290437,0.137391,0.801201
2967,failed,-2.573106,4,53,4,0.182742,0.742738,0.290437,0.137391,0.801201
2968,completed,0.824435,3,12,3,0.182742,0.742738,0.290437,0.137391,0.801201
2969,completed,0.845368,4,10,4,0.182742,0.742738,0.290437,0.137391,0.801201
2970,failed,-1.375156,4,29,4,0.182742,0.742738,0.290437,0.137391,0.801201
2971,completed,0.604608,5,20,5,0.182742,0.742738,0.290437,0.137391,0.801201
2972,completed,1.046512,5,11,5,0.182742,0.742738,0.290437,0.137391,0.801201
2973,failed,-1.625011,3,31,3,0.182742,0.742738,0.290437,0.137391,0.801201
2974,failed,-1.760951,4,35,4,0.182742,0.742738,0.290437,0.137391,0.801201
2975,completed,1.175640,5,9,5,0.182742,0.742738,0.290437,0.137391,0.801201
2976,failed,-1.191803,2,20,2,0.182742,0.742738,0.290437,0.137391,0.801201
2977,failed,-1.319927,3,25,3,0.182742,0.742738,0.290437,0.137391,0.801201
2978,failed,-2.119352,4,43,4,0.182742,0.742738,0.290437,0.137391,0.801201
2979,completed,0.978230,3,7,3,0.182742,0.742738,0.290437,0.137391,0.801201
2980,failed,-1.569661,3,30,3,0.182742,0.742738,0.290437,0.137391,0.801201
2981,failed,-2.258564,4,46,4,0.182742,0.742738,0.290437,0.137391,0.801201
2982,completed,0.546661,4,18,4,0.182742,0.742738,0.290437,0.137391,0.801201
2983,failed,-1.592678,3,30,3,0.182742,0.742738,0.290437,0.137391,0.801201
2984,failed,-1.357371,2,23,2,0.182742,0.742738,0.290437,0.137391,0.801201
2985,completed,1.248328,3,0,3,0.182742,0.742738,0.290437,0.137391,0.801201
2986,failed,-1.191554,3,22,3,0.182742,0.742738,0.290437,0.137391,0.801201
2987,failed,-1.427842,2,24,2,0.182742,0.742738,0.290437,0.137391,0.801201
2988,completed,0.793442,5,13,5,0.182742,0.742738,0.290437,0.137391,0.801201
2989,completed,1.056430,4,7,4,0.182742,0.742738,0.290437,0.137391,0.801201
2990,completed,1.009236,3,7,3,0.182742,0.742738,0.290437,0.137391,0.801201
2991,failed,-1.382962,1,21,1,0.182742,0.742738,0.290437,0.137391,0.801201
2992,completed,0.980739,4,8,4,0.182742,0.742738,0.290437,0.137391,0.801201
2993,failed,-1.414232,2,24,2,0.182742,0.742738,0.290437,0.137391,0.801201
2994,completed,0.680117,5,18,5,0.182742,0.742738,0.290437,0.137391,0.801201
2995,completed,0.604886,3,12,3,0.182742,0.742738,0.290437,0.137391,0.801201
2996,failed,-1.324693,2,22,2,0.182742,0.742738,0.290437,0.137391,0.801201
2997,failed,-2.076679,3,40,3,0.182742,0.742738,0.290437,0.137391,0.801201
2998,completed,1.290804,4,3,4,0.182742,0.742738,0.290437,0.137391,0.801201
2999,failed,-1.570698,4,33,4,0.182742,0.742738,0.290437,0.137391,0.801201
3000,failed,-1.321801,2,22,2,0.182742,0.742738,0.290437,0.137391,0.801201
3001,failed,-1.293296,2,21,2,0.182742,0.742738,0.290437,0.137391,0.801201
3002,completed,-0.103598,5,33,5,0.182742,0.742738,0.290437,0.137391,0.801201
3003,completed,0.949549,4,10,4,0.182742,0.742738,0.290437,0.137391,0.801201
3004,completed,1.035238,3,7,3,0.182742,0.742738,0.290437,0.137391,0.801201
3005,failed,-1.350490,2,23,2,0.182742,0.742738,0.290437,0.137391,0.801201
3006,failed,-1.700874,3,33,3,0.182742,0.742738,0.290437,0.137391,0.801201
3007,completed,0.630461,3,13,3,0.182742,0.742738,0.290437,0.137391,0.801201
3008,failed,-1.327005,3,25,3,0.182742,0.742738,0.290437,0.137391,0.801201
3009,completed,0.958623,4,11,4,0.182742,0.742738,0.290437,0.137391,0.801201
3010,completed,1.053539,3,4,3,0.182742,0.742738,0.290437,0.137391,0.801201
3011,failed,-1.697911,3,33,3,0.182742,0.742738,0.290437,0.137391,0.801201
3012,failed,-1.603537,2,28,2,0.182742,0.742738,0.290437,0.137391,0.801201
3013,failed,-1.821040,3,35,3,0.182742,0.742738,0.290437,0.137391,0.801201
3014,failed,-2.061100,2,37,2,0.182742,0.742738,0.290437,0.137391,0.801201
3015,failed,-1.407692,3,26,3,0.182742,0.742738,0.290437,0.137391,0.801201
3016,completed,0.794215,3,10,3,0.182742,0.742738,0.290437,0.137391,0.801201
3017,completed,0.547161,4,18,4,0.182742,0.742738,0.290437,0.137391,0.801201
3018,failed,-1.521524,4,32,4,0.182742,0.742738,0.290437,0.137391,0.801201
3019,completed,1.160448,4,6,4,0.182742,0.742738,0.290437,0.137391,0.801201
3020,completed,1.076149,3,1,3,0.182742,0.742738,0.290437,0.137391,0.801201
3021,completed,0.971531,3,5,3,0.182742,0.742738,0.290437,0.137391,0.801201
3022,failed,-1.489652,3,28,3,0.182742,0.742738,0.290437,0.137391,0.801201
3023,completed,0.780590,3,12,3,0.182742,0.742738,0.290437,0.137391,0.801201
3024,failed,-1.324970,3,25,3,0.182742,0.742738,0.290437,0.137391,0.801201
3025,completed,1.318134,3,0,3,0.182742,0.742738,0.290437,0.137391,0.801201
3026,completed,0.930336,3,7,3,0.182742,0.742738,0.290437,0.137391,0.801201
3027,completed,0.682162,3,13,3,0.182742,0.742738,0.290437,0.137391,0.801201
3028,failed,-1.912865,3,37,3,0.182742,0.742738,0.290437,0.137391,0.801201
3029,failed,-1.267631,2,21,2,0.182742,0.742738,0.290437,0.137391,0.801201
3030,completed,0.417424,3,18,3,0.182742,0.742738,0.290437,0.137391,0.801201
3031,completed,0.775716,4,11,4,0.182742,0.742738,0.290437,0.137391,0.801201
3032,completed,1.082737,3,3,3,0.182742,0.742738,0.290437,0.137391,0.801201
3033,completed,0.980952,3,8,3,0.182742,0.742738,0.290437,0.137391,0.801201
3034,failed,-1.554780,3,30,3,0.182742,0.742738,0.290437,0.137391,0.801201
3035,completed,0.359660,5,23,5,0.182742,0.742738,0.290437,0.137391,0.801201
3036,completed,0.376375,4,22,4,0.182742,0.742738,0.290437,0.137391,0.801201
3037,failed,-1.447326,2,25,2,0.182742,0.742738,0.290437,0.137391,0.801201
3038,failed,-1.237800,3,23,3,0.182742,0.742738,0.290437,0.137391,0.801201
3039,completed,1.135108,5,6,5,0.182742,0.742738,0.290437,0.137391,0.801201
