run_id,case_name,cargo_count,total_mass_kg,secured_frac,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,SpeedKmh,AccX,AccY,AccZ,LongAcc,LatAcc,VertAcc,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AngVelX,AngVelY,AngVelZ,AngAccX,AngAccY,AngAccZ,SteerAngle,TargetSteer,Throttle,Brake,FL_Grounded,FR_Grounded,RL_Grounded,RR_Grounded,FL_ForwardSlip,FR_ForwardSlip,RL_ForwardSlip,RR_ForwardSlip,FL_SideSlip,FR_SideSlip,RL_SideSlip,RR_SideSlip,MaxForwardSlip,MaxSideSlip,RolloverRisk,IsRollover
20260703_203820,case01_baseline_boxes,6,294.5,1.000,0.639,679.395,-1.501,736.112,-0.146,0.448,0.014,1.696,-1.619,0.957,0.080,1.618,0.080,0.958,-0.006,0.057,-89.997,0.158,0.388,0.045,-0.003,0.002,0.006,0.003,0.022,-0.036,12.800,0.380,1.000,0.000,1,1,1,1,-0.004,-0.002,0.737,-1.083,-0.009,-0.008,-0.001,-0.001,1.083,0.009,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,0.747,679.366,-1.455,736.115,-0.372,0.386,0.036,1.935,-2.263,-0.615,0.225,2.264,0.224,-0.611,0.016,0.090,-89.968,0.218,0.330,0.290,-0.004,0.007,0.005,-0.011,0.045,-0.014,14.442,0.384,1.000,0.000,1,1,1,1,-0.006,-0.003,0.451,-1.351,-0.011,-0.006,-0.002,-0.002,1.351,0.011,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,0.851,679.316,-1.422,736.120,-0.593,0.228,0.059,2.297,-2.212,-1.586,0.224,2.216,0.219,-1.582,0.046,0.117,-89.917,0.298,0.276,0.502,-0.006,0.010,0.004,-0.017,0.037,-0.005,14.438,0.384,1.000,0.000,1,1,1,1,-0.004,-0.001,0.181,0.604,-0.010,-0.003,-0.003,-0.003,0.604,0.010,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,0.959,679.241,-1.406,736.127,-0.796,0.077,0.079,2.894,-2.031,-1.502,0.202,2.035,0.195,-1.498,0.087,0.142,-89.843,0.407,0.246,0.744,-0.007,0.014,0.003,-0.013,0.032,-0.009,14.245,0.380,1.000,0.000,1,1,1,1,-0.005,-0.003,0.021,0.228,-0.012,-0.003,-0.003,-0.003,0.228,0.012,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,1.063,679.147,-1.405,736.136,-1.014,-0.043,0.099,3.672,-2.181,-1.199,0.205,2.185,0.192,-1.194,0.132,0.157,-89.751,0.456,0.147,0.921,-0.008,0.017,0.001,-0.007,0.035,-0.021,13.818,0.362,1.000,0.000,1,1,1,1,-0.004,-0.002,0.207,-0.026,-0.012,-0.003,-0.002,-0.002,0.207,0.012,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,1.171,679.026,-1.413,736.148,-1.233,-0.098,0.116,4.472,-2.186,-0.557,0.169,2.189,0.154,-0.552,0.182,0.157,-89.638,0.492,0.007,1.133,-0.008,0.020,-0.001,0.001,0.027,-0.027,13.110,0.352,1.000,0.000,1,1,1,1,-0.004,-0.002,0.144,-0.148,-0.011,-0.002,-0.002,-0.002,0.148,0.011,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,1.283,678.875,-1.424,736.162,-1.452,-0.100,0.133,5.263,-2.195,-0.019,0.165,2.196,0.146,-0.014,0.229,0.140,-89.502,0.477,-0.168,1.352,-0.007,0.022,-0.004,0.008,0.026,-0.025,12.560,0.338,1.000,0.000,1,1,1,1,-0.004,-0.003,0.123,-0.167,-0.010,-0.001,-0.002,-0.002,0.167,0.010,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,1.383,678.720,-1.433,736.175,-1.652,-0.075,0.146,5.978,-2.000,0.256,0.129,2.000,0.108,0.260,0.266,0.114,-89.369,0.365,-0.269,1.335,-0.006,0.024,-0.005,0.011,0.018,-0.015,11.825,0.320,1.000,0.000,1,1,1,1,-0.004,-0.003,0.119,-0.112,-0.008,0.001,-0.002,-0.002,0.119,0.008,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,1.487,678.538,-1.439,736.191,-1.850,-0.041,0.158,6.686,-1.975,0.338,0.121,1.976,0.096,0.340,0.296,0.080,-89.220,0.303,-0.338,1.484,-0.005,0.026,-0.006,0.013,0.015,-0.004,11.324,0.307,1.000,0.000,1,1,1,1,-0.004,-0.003,0.118,-0.111,-0.008,0.000,-0.002,-0.002,0.118,0.008,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,1.591,678.335,-1.442,736.208,-2.069,-0.008,0.171,7.474,-2.192,0.323,0.130,2.194,0.096,0.324,0.318,0.047,-89.063,0.221,-0.326,1.576,-0.003,0.027,-0.005,0.014,0.012,0.008,10.591,0.289,1.000,0.000,1,1,1,1,-0.003,-0.001,0.122,0.176,-0.006,0.001,-0.002,-0.002,0.176,0.006,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,1.691,678.119,-1.442,736.226,-2.263,0.010,0.181,8.172,-1.937,0.187,0.100,1.938,0.065,0.188,0.332,0.023,-88.906,0.140,-0.246,1.566,-0.002,0.028,-0.003,0.012,0.007,0.015,9.923,0.272,1.000,0.000,1,1,1,1,-0.004,-0.002,0.121,0.095,-0.006,0.000,-0.002,-0.002,0.121,0.006,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,1.803,677.854,-1.440,736.247,-2.475,0.019,0.195,8.938,-2.123,0.085,0.144,2.125,0.097,0.085,0.340,0.007,-88.725,0.080,-0.158,1.816,-0.001,0.029,-0.001,0.012,0.010,0.020,9.233,0.254,1.000,0.000,1,1,1,1,-0.004,-0.002,0.121,0.089,-0.004,0.002,-0.002,-0.002,0.121,0.004,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,1.915,677.565,-1.438,736.269,-2.687,0.018,0.210,9.702,-2.116,-0.006,0.146,2.119,0.092,-0.006,0.341,0.004,-88.538,0.011,-0.027,1.867,0.000,0.030,0.001,0.010,0.008,0.019,8.847,0.244,1.000,0.000,1,1,1,1,-0.004,-0.002,0.122,0.088,-0.005,0.000,-0.002,-0.002,0.122,0.005,0.000,0
20260703_203820,case01_baseline_boxes,6,294.5,1.000,2.016,677.286,-1.436,736.291,-2.879,0.014,0.223,10.395,-1.921,-0.045,0.128,1.924,0.073,-0.045,0.337,0.011,-88.367,-0.042,0.069,1.707,0.001,0.030,0.002,0.008,0.003,0.012,8.262,0.229,1.000,0.000,1,1,1,1,-0.004,-0.002,0.123,0.088,-0.004,0.001,-0.003,-0.003,0.123,0.004,0.000,0
