run_id,source_layout,cargo_count,total_mass_kg,secured_frac,init_cog_x,init_cog_z,init_cog_height,target_speed_kmh,duration_s,max_roll_deg,max_pitch_deg,max_lat_accel_g,max_abs_ltr,max_cargo_shift_m,cargo_fell_count,rollover,risk_grade
20260703_220137,case08_heavy_dense.json,6,363.1,1.00,0.254,-1.783,0.928,45,502.8,4.07,11.94,0.608,1.000,0.000,0,0,2
20260703_220153,case09_small_many.json,7,288.7,1.00,-2.267,-1.924,0.982,45,501.2,4.18,11.93,0.602,1.000,0.000,0,0,2
20260703_220210,case10_full_pack.json,8,479.4,1.00,-0.791,-0.517,1.041,45,505.7,3.79,11.95,0.588,0.974,0.000,0,0,2
20260703_220531,case01_boxes_2layer.json,6,213.5,0.00,-1.389,-2.040,1.616,45,493.9,4.55,11.92,0.682,1.000,1428.382,2,0,2
20260703_220548,case02_coils_boxes.json,5,304.3,0.00,-0.649,-1.791,0.757,45,494.5,4.40,11.88,0.695,0.918,8.654,0,0,2
20260703_220604,case03_pipes_boxes.json,4,204.0,0.00,-2.981,0.027,1.140,45,494.3,4.86,11.86,1.418,1.000,10.214,0,0,2
20260703_220621,case04_balanced_mix.json,5,307.8,1.00,-2.792,-1.231,0.965,45,501.7,4.12,11.92,0.601,1.000,0.000,0,0,2
20260703_220638,case05_pipes_many.json,5,311.5,1.00,-1.146,-0.069,0.978,45,501.6,4.13,11.93,0.582,0.983,0.000,0,0,2
20260703_223641,case01_boxes_2layer.json,6,213.5,0.00,-1.389,-2.040,1.616,45,493.9,4.55,11.92,0.682,1.000,1428.382,2,0,2
20260703_223657,case02_coils_boxes.json,5,304.3,0.00,-0.649,-1.791,0.757,45,494.6,4.53,11.90,0.641,1.000,11.677,0,0,2
20260703_223714,case03_pipes_boxes.json,4,204.0,0.00,-2.981,0.027,1.140,45,494.3,4.76,11.88,1.442,1.000,13.883,0,0,2
20260703_223731,case04_balanced_mix.json,5,307.8,1.00,-2.792,-1.231,0.965,45,501.7,4.12,11.92,0.596,1.000,0.000,0,0,2
20260703_223747,case05_pipes_many.json,5,311.5,1.00,-1.146,-0.069,0.978,45,501.5,4.12,11.94,0.602,0.975,0.000,0,0,2
20260703_223804,case06_2coil_2pipe_2box.json,6,431.8,1.00,-3.595,-1.046,0.825,45,505.3,3.86,11.93,0.578,1.000,0.000,0,0,2
20260703_223821,case07_4box_2coil_3pipe.json,10,540.5,1.00,-0.665,-0.255,0.936,45,507.2,3.70,11.95,0.578,0.957,0.000,0,0,2
20260703_223838,case08_heavy_dense.json,6,363.1,1.00,0.254,-1.783,0.928,45,502.8,4.08,11.94,0.603,1.000,0.000,0,0,2
20260703_223855,case09_small_many.json,7,288.7,1.00,-2.267,-1.924,0.982,45,501.1,4.17,11.92,0.607,1.000,0.000,0,0,2
20260703_223911,case10_full_pack.json,8,479.4,1.00,-0.791,-0.517,1.041,45,505.7,3.80,11.94,0.586,0.972,0.000,0,0,2
