run_id,case_name,cargo_count,total_mass_kg,secured_frac,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,SpeedKmh,AccX,AccY,AccZ,LongAcc,LatAcc,VertAcc,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AngVelX,AngVelY,AngVelZ,AngAccX,AngAccY,AngAccZ,SteerAngle,TargetSteer,Throttle,Brake,FL_Grounded,FR_Grounded,RL_Grounded,RR_Grounded,FL_ForwardSlip,FR_ForwardSlip,RL_ForwardSlip,RR_ForwardSlip,FL_SideSlip,FR_SideSlip,RL_SideSlip,RR_SideSlip,MaxForwardSlip,MaxSideSlip,RolloverRisk,IsRollover
20260703_215709,case01_boxes_2layer,6,213.5,1.000,1.220,678.944,-1.408,736.107,-0.182,-0.100,0.022,0.753,-1.905,-0.166,0.127,1.906,0.127,-0.165,-0.209,0.028,-89.974,0.476,0.394,0.063,-0.008,0.003,0.007,-0.007,0.027,0.006,16.000,0.518,1.000,0.000,1,1,1,1,-0.005,0.000,0.720,0.305,-0.011,-0.008,-0.002,-0.002,0.720,0.011,0.000,0
20260703_215709,case01_boxes_2layer,6,213.5,1.000,1.320,678.915,-1.417,736.111,-0.372,-0.076,0.049,1.380,-1.901,0.239,0.269,1.901,0.267,0.242,-0.163,0.064,-89.939,0.466,0.364,0.356,-0.008,0.008,0.006,0.006,0.055,-0.016,18.227,0.483,1.000,0.000,1,1,1,1,-0.004,-0.001,-0.415,0.731,-0.011,-0.002,-0.003,-0.003,0.731,0.011,0.000,0
20260703_215709,case01_boxes_2layer,6,213.5,1.000,1.420,678.866,-1.423,736.117,-0.579,-0.037,0.069,2.103,-2.064,0.394,0.207,2.063,0.202,0.398,-0.120,0.089,-89.878,0.422,0.252,0.607,-0.007,0.012,0.003,0.009,0.043,-0.022,17.901,0.476,1.000,0.000,1,1,1,1,-0.006,-0.003,-0.285,-1.329,-0.016,-0.005,-0.002,-0.002,1.329,0.016,0.000,0
20260703_215709,case01_boxes_2layer,6,213.5,1.000,1.520,678.796,-1.425,736.125,-0.785,-0.001,0.089,2.844,-2.062,0.359,0.200,2.062,0.192,0.363,-0.084,0.102,-89.793,0.365,0.124,0.853,-0.006,0.017,0.001,0.010,0.042,-0.021,17.494,0.467,1.000,0.000,1,1,1,1,-0.006,-0.003,0.048,-0.898,-0.017,-0.004,-0.002,-0.002,0.898,0.017,0.000,0
20260703_215709,case01_boxes_2layer,6,213.5,1.000,1.620,678.706,-1.423,736.136,-0.996,0.021,0.106,3.606,-2.110,0.224,0.162,2.110,0.150,0.228,-0.053,0.104,-89.686,0.309,0.021,1.066,-0.005,0.020,0.000,0.008,0.030,-0.014,15.988,0.429,1.000,0.000,1,1,1,1,-0.004,-0.002,0.254,0.322,-0.010,0.002,-0.002,-0.002,0.322,0.010,0.000,0
20260703_215709,case01_boxes_2layer,6,213.5,1.000,1.720,678.596,-1.421,736.148,-1.197,0.029,0.121,4.333,-2.012,0.074,0.157,2.013,0.142,0.078,-0.026,0.099,-89.565,0.268,-0.043,1.214,-0.004,0.022,-0.001,0.007,0.027,-0.008,15.569,0.419,1.000,0.000,1,1,1,1,-0.005,-0.002,0.154,0.270,-0.015,-0.003,-0.002,-0.002,0.270,0.015,0.000,0
20260703_215709,case01_boxes_2layer,6,213.5,1.000,1.820,678.465,-1.418,736.161,-1.394,0.025,0.140,5.044,-1.968,-0.038,0.182,1.970,0.163,-0.035,-0.003,0.093,-89.426,0.228,-0.067,1.384,-0.004,0.025,-0.001,0.007,0.031,-0.002,15.059,0.407,1.000,0.000,1,1,1,1,-0.005,-0.002,0.139,0.045,-0.015,-0.003,-0.002,-0.002,0.139,0.015,0.000,0
20260703_215709,case01_boxes_2layer,6,213.5,1.000,1.920,678.314,-1.416,736.177,-1.597,0.015,0.157,5.777,-2.029,-0.095,0.176,2.031,0.151,-0.091,0.016,0.086,-89.272,0.190,-0.063,1.544,-0.003,0.028,-0.001,0.006,0.025,0.002,13.678,0.371,1.000,0.000,1,1,1,1,-0.005,-0.001,0.137,0.183,-0.014,-0.002,-0.002,-0.002,0.183,0.014,0.000,0
20260703_215709,case01_boxes_2layer,6,213.5,1.000,2.020,678.144,-1.415,736.194,-1.799,0.005,0.168,6.506,-2.025,-0.100,0.108,2.026,0.077,-0.097,0.031,0.082,-89.109,0.159,-0.046,1.631,-0.003,0.029,-0.001,0.005,0.010,0.004,13.108,0.357,1.000,0.000,1,1,1,1,-0.004,-0.001,0.135,0.272,-0.011,0.000,-0.002,-0.002,0.272,0.011,0.000,0
20260703_215709,case01_boxes_2layer,6,213.5,1.000,2.120,677.953,-1.415,736.212,-1.999,-0.002,0.184,7.226,-1.994,-0.074,0.158,1.997,0.121,-0.071,0.044,0.079,-88.937,0.122,-0.027,1.718,-0.002,0.031,0.000,0.007,0.017,0.003,12.428,0.340,1.000,0.000,1,1,1,1,-0.004,-0.001,0.133,0.256,-0.010,0.000,-0.002,-0.002,0.256,0.010,0.000,0
