run_id,case_name,cargo_count,total_mass_kg,secured_frac,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,SpeedKmh,AccX,AccY,AccZ,LongAcc,LatAcc,VertAcc,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AngVelX,AngVelY,AngVelZ,AngAccX,AngAccY,AngAccZ,SteerAngle,TargetSteer,Throttle,Brake,FL_Grounded,FR_Grounded,RL_Grounded,RR_Grounded,FL_ForwardSlip,FR_ForwardSlip,RL_ForwardSlip,RR_ForwardSlip,FL_SideSlip,FR_SideSlip,RL_SideSlip,RR_SideSlip,MaxForwardSlip,MaxSideSlip,RolloverRisk,IsRollover
20260703_203136,case01_baseline_boxes,6,294.5,1.000,0.635,679.395,-1.503,736.112,-0.146,0.448,0.014,1.696,-1.619,0.957,0.080,1.618,0.080,0.958,-0.006,0.055,-89.997,0.150,0.370,0.039,-0.003,0.002,0.006,0.003,0.022,-0.036,12.800,0.380,1.000,0.000,1,1,1,1,-0.004,-0.002,0.737,-1.083,-0.009,-0.008,-0.001,-0.001,1.083,0.009,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,0.742,679.368,-1.457,736.115,-0.372,0.386,0.036,1.935,-2.263,-0.615,0.225,2.264,0.224,-0.611,0.015,0.088,-89.969,0.216,0.334,0.278,-0.004,0.007,0.005,-0.011,0.045,-0.014,14.442,0.384,1.000,0.000,1,1,1,1,-0.006,-0.003,0.451,-1.351,-0.011,-0.006,-0.002,-0.002,1.351,0.011,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,0.850,679.317,-1.423,736.120,-0.593,0.228,0.059,2.297,-2.212,-1.586,0.224,2.216,0.219,-1.582,0.046,0.117,-89.918,0.305,0.286,0.512,-0.006,0.010,0.004,-0.017,0.037,-0.005,14.438,0.384,1.000,0.000,1,1,1,1,-0.004,-0.001,0.181,0.604,-0.010,-0.003,-0.003,-0.003,0.604,0.010,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,0.950,679.248,-1.407,736.126,-0.796,0.077,0.079,2.894,-2.031,-1.502,0.202,2.035,0.195,-1.498,0.083,0.140,-89.850,0.373,0.231,0.681,-0.007,0.014,0.003,-0.013,0.032,-0.009,14.245,0.380,1.000,0.000,1,1,1,1,-0.005,-0.003,0.021,0.228,-0.012,-0.003,-0.003,-0.003,0.228,0.012,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,1.050,679.159,-1.404,736.135,-0.990,-0.034,0.098,3.582,-1.933,-1.117,0.186,1.937,0.176,-1.112,0.127,0.155,-89.763,0.435,0.154,0.866,-0.008,0.017,0.002,-0.007,0.033,-0.019,13.868,0.371,1.000,0.000,1,1,1,1,-0.005,-0.003,0.097,-0.241,-0.012,-0.003,-0.002,-0.002,0.241,0.012,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,1.158,679.042,-1.412,736.146,-1.199,-0.093,0.113,4.349,-2.097,-0.584,0.156,2.100,0.142,-0.579,0.176,0.158,-89.652,0.490,0.026,1.111,-0.008,0.019,-0.001,0.000,0.022,-0.024,13.198,0.354,1.000,0.000,1,1,1,1,-0.004,-0.002,0.134,0.267,-0.010,-0.001,-0.002,-0.002,0.267,0.010,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,1.262,678.906,-1.422,736.159,-1.416,-0.103,0.130,5.133,-2.170,-0.101,0.168,2.171,0.150,-0.096,0.221,0.145,-89.529,0.451,-0.132,1.231,-0.007,0.022,-0.003,0.007,0.028,-0.027,12.665,0.341,1.000,0.000,1,1,1,1,-0.004,-0.003,0.123,0.058,-0.010,-0.001,-0.002,-0.002,0.123,0.010,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,1.374,678.736,-1.433,736.174,-1.637,-0.078,0.145,5.924,-2.211,0.251,0.148,2.212,0.125,0.255,0.263,0.116,-89.382,0.420,-0.286,1.477,-0.006,0.024,-0.005,0.012,0.021,-0.018,12.006,0.321,1.000,0.000,1,1,1,1,-0.003,-0.001,0.131,0.205,-0.008,0.000,-0.002,-0.002,0.205,0.008,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,1.486,678.540,-1.439,736.191,-1.850,-0.041,0.158,6.686,-2.126,0.370,0.131,2.127,0.104,0.372,0.296,0.080,-89.222,0.331,-0.363,1.597,-0.005,0.026,-0.006,0.014,0.018,-0.005,11.324,0.307,1.000,0.000,1,1,1,1,-0.004,-0.003,0.118,-0.111,-0.008,0.000,-0.002,-0.002,0.118,0.008,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,1.598,678.320,-1.442,736.209,-2.069,-0.008,0.171,7.474,-2.192,0.323,0.130,2.194,0.096,0.324,0.319,0.045,-89.052,0.236,-0.349,1.702,-0.003,0.027,-0.005,0.014,0.012,0.008,10.591,0.289,1.000,0.000,1,1,1,1,-0.003,-0.001,0.122,0.176,-0.006,0.001,-0.002,-0.002,0.176,0.006,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,1.710,678.075,-1.442,736.229,-2.301,0.013,0.184,8.312,-2.323,0.211,0.127,2.325,0.083,0.212,0.334,0.019,-88.876,0.147,-0.262,1.757,-0.002,0.028,-0.003,0.014,0.009,0.019,9.851,0.270,1.000,0.000,1,1,1,1,-0.004,-0.002,0.121,0.091,-0.006,0.000,-0.002,-0.002,0.121,0.006,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,1.822,677.807,-1.440,736.250,-2.514,0.019,0.197,9.077,-2.123,0.065,0.139,2.125,0.091,0.065,0.341,0.006,-88.694,0.067,-0.135,1.823,0.000,0.029,-0.001,0.012,0.009,0.020,9.167,0.252,1.000,0.000,1,1,1,1,-0.004,-0.002,0.121,0.089,-0.005,0.001,-0.002,-0.002,0.121,0.005,0.000,0
20260703_203136,case01_baseline_boxes,6,294.5,1.000,1.926,677.536,-1.438,736.272,-2.706,0.018,0.211,9.771,-1.922,-0.014,0.138,1.925,0.088,-0.014,0.341,0.005,-88.520,0.002,-0.009,1.738,0.000,0.030,0.001,0.009,0.008,0.016,8.807,0.243,1.000,0.000,1,1,1,1,-0.004,-0.002,0.122,0.088,-0.005,0.000,-0.002,-0.002,0.122,0.005,0.000,0
