run_id,case_name,cargo_count,total_mass_kg,secured_frac,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,SpeedKmh,AccX,AccY,AccZ,LongAcc,LatAcc,VertAcc,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AngVelX,AngVelY,AngVelZ,AngAccX,AngAccY,AngAccZ,SteerAngle,TargetSteer,Throttle,Brake,FL_Grounded,FR_Grounded,RL_Grounded,RR_Grounded,FL_ForwardSlip,FR_ForwardSlip,RL_ForwardSlip,RR_ForwardSlip,FL_SideSlip,FR_SideSlip,RL_SideSlip,RR_SideSlip,MaxForwardSlip,MaxSideSlip,RolloverRisk,IsRollover
20260703_204435,case01_baseline_boxes,6,294.5,1.000,0.639,679.395,-1.501,736.112,-0.146,0.448,0.014,1.696,-1.619,0.957,0.080,1.618,0.080,0.958,-0.006,0.057,-89.997,0.157,0.387,0.045,-0.003,0.002,0.006,0.003,0.022,-0.036,12.800,0.380,1.000,0.000,1,1,1,1,-0.004,-0.002,0.737,-1.083,-0.009,-0.008,-0.001,-0.001,1.083,0.009,0.000,0
20260703_204435,case01_baseline_boxes,6,294.5,1.000,0.747,679.366,-1.455,736.115,-0.372,0.386,0.036,1.935,-2.263,-0.615,0.225,2.264,0.224,-0.611,0.016,0.090,-89.968,0.218,0.329,0.288,-0.004,0.007,0.005,-0.011,0.045,-0.014,14.442,0.384,1.000,0.000,1,1,1,1,-0.006,-0.003,0.451,-1.351,-0.011,-0.006,-0.002,-0.002,1.351,0.011,0.000,0
20260703_204435,case01_baseline_boxes,6,294.5,1.000,0.847,679.318,-1.423,736.120,-0.569,0.243,0.057,2.236,-1.967,-1.428,0.203,1.970,0.200,-1.424,0.045,0.116,-89.920,0.284,0.265,0.477,-0.006,0.010,0.004,-0.016,0.033,-0.004,14.447,0.384,1.000,0.000,1,1,1,1,-0.006,-0.003,-0.068,-0.119,-0.012,-0.005,-0.003,-0.003,0.119,0.012,0.000,0
20260703_204435,case01_baseline_boxes,6,294.5,1.000,0.955,679.244,-1.406,736.127,-0.796,0.077,0.079,2.894,-2.276,-1.660,0.223,2.281,0.214,-1.655,0.085,0.141,-89.846,0.404,0.249,0.737,-0.007,0.014,0.003,-0.015,0.036,-0.009,14.245,0.380,1.000,0.000,1,1,1,1,-0.005,-0.003,0.021,0.228,-0.012,-0.003,-0.003,-0.003,0.228,0.012,0.000,0
20260703_204435,case01_baseline_boxes,6,294.5,1.000,1.063,679.147,-1.405,736.136,-1.014,-0.043,0.099,3.672,-2.181,-1.199,0.205,2.185,0.192,-1.194,0.132,0.157,-89.751,0.473,0.155,0.952,-0.008,0.017,0.001,-0.007,0.035,-0.021,13.818,0.362,1.000,0.000,1,1,1,1,-0.004,-0.002,0.207,-0.026,-0.012,-0.003,-0.002,-0.002,0.207,0.012,0.000,0
20260703_204435,case01_baseline_boxes,6,294.5,1.000,1.167,679.031,-1.413,736.147,-1.216,-0.096,0.115,4.410,-2.015,-0.532,0.154,2.017,0.139,-0.527,0.180,0.158,-89.642,0.475,0.010,1.090,-0.008,0.019,-0.001,0.001,0.024,-0.025,13.156,0.353,1.000,0.000,1,1,1,1,-0.002,0.000,0.151,0.508,-0.009,0.000,-0.002,-0.003,0.508,0.009,0.000,0
20260703_204435,case01_baseline_boxes,6,294.5,1.000,1.271,678.893,-1.423,736.160,-1.438,-0.102,0.131,5.210,-2.218,-0.059,0.167,2.220,0.148,-0.054,0.224,0.143,-89.518,0.447,-0.145,1.244,-0.007,0.022,-0.004,0.008,0.026,-0.026,12.615,0.340,1.000,0.000,1,1,1,1,-0.002,0.000,0.142,0.431,-0.009,0.000,-0.002,-0.002,0.431,0.009,0.000,0
20260703_204435,case01_baseline_boxes,6,294.5,1.000,1.383,678.721,-1.433,736.175,-1.652,-0.075,0.146,5.978,-2.148,0.271,0.143,2.149,0.121,0.275,0.266,0.114,-89.369,0.413,-0.295,1.488,-0.006,0.024,-0.005,0.012,0.022,-0.017,11.825,0.320,1.000,0.000,1,1,1,1,-0.004,-0.003,0.119,-0.112,-0.008,0.001,-0.002,-0.002,0.119,0.008,0.000,0
20260703_204435,case01_baseline_boxes,6,294.5,1.000,1.495,678.523,-1.440,736.192,-1.874,-0.037,0.159,6.773,-2.220,0.371,0.135,2.221,0.106,0.374,0.298,0.077,-89.208,0.324,-0.365,1.605,-0.004,0.026,-0.006,0.014,0.016,-0.003,11.268,0.306,1.000,0.000,1,1,1,1,-0.003,-0.001,0.125,0.260,-0.007,0.001,-0.002,-0.002,0.260,0.007,0.000,0
20260703_204435,case01_baseline_boxes,6,294.5,1.000,1.603,678.311,-1.442,736.210,-2.087,-0.006,0.172,7.537,-2.122,0.313,0.127,2.124,0.094,0.314,0.320,0.044,-89.045,0.221,-0.332,1.638,-0.003,0.027,-0.005,0.014,0.014,0.009,10.543,0.279,1.000,0.000,1,1,1,1,-0.004,-0.002,0.119,0.009,-0.007,0.001,-0.002,-0.002,0.119,0.007,0.000,0
