run_id,case_name,cargo_count,total_mass_kg,secured_frac,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,SpeedKmh,AccX,AccY,AccZ,LongAcc,LatAcc,VertAcc,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AngVelX,AngVelY,AngVelZ,AngAccX,AngAccY,AngAccZ,SteerAngle,TargetSteer,Throttle,Brake,FL_Grounded,FR_Grounded,RL_Grounded,RR_Grounded,FL_ForwardSlip,FR_ForwardSlip,RL_ForwardSlip,RR_ForwardSlip,FL_SideSlip,FR_SideSlip,RL_SideSlip,RR_SideSlip,MaxForwardSlip,MaxSideSlip,RolloverRisk,IsRollover
20260703_203049,case01_baseline_boxes,6,294.5,1.000,0.640,679.395,-1.501,736.112,-0.146,0.448,0.014,1.696,-1.619,0.957,0.080,1.618,0.080,0.959,-0.005,0.057,-89.997,0.159,0.390,0.046,-0.003,0.002,0.006,0.003,0.022,-0.036,12.800,0.380,1.000,0.000,1,1,1,1,-0.004,-0.002,0.737,-1.083,-0.009,-0.008,-0.001,-0.001,1.083,0.009,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,0.748,679.366,-1.454,736.115,-0.372,0.386,0.036,1.935,-2.263,-0.615,0.225,2.264,0.224,-0.611,0.016,0.090,-89.967,0.219,0.330,0.292,-0.004,0.007,0.005,-0.011,0.045,-0.014,14.442,0.384,1.000,0.000,1,1,1,1,-0.006,-0.003,0.451,-1.351,-0.011,-0.006,-0.002,-0.002,1.351,0.011,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,0.856,679.313,-1.421,736.120,-0.593,0.228,0.059,2.297,-2.212,-1.586,0.224,2.216,0.219,-1.581,0.048,0.118,-89.915,0.311,0.285,0.525,-0.006,0.010,0.004,-0.017,0.037,-0.005,14.438,0.384,1.000,0.000,1,1,1,1,-0.004,-0.001,0.181,0.604,-0.010,-0.003,-0.003,-0.003,0.604,0.010,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,0.956,679.244,-1.406,736.127,-0.796,0.077,0.079,2.894,-2.031,-1.502,0.202,2.035,0.195,-1.498,0.085,0.141,-89.846,0.378,0.229,0.692,-0.007,0.014,0.003,-0.013,0.032,-0.009,14.245,0.380,1.000,0.000,1,1,1,1,-0.005,-0.003,0.021,0.228,-0.012,-0.003,-0.003,-0.003,0.228,0.012,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,1.064,679.146,-1.405,736.136,-1.014,-0.043,0.099,3.672,-2.181,-1.199,0.205,2.185,0.192,-1.194,0.133,0.157,-89.750,0.474,0.154,0.956,-0.008,0.017,0.001,-0.007,0.035,-0.021,13.818,0.362,1.000,0.000,1,1,1,1,-0.004,-0.002,0.207,-0.026,-0.012,-0.003,-0.002,-0.002,0.207,0.012,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,1.164,679.034,-1.412,736.147,-1.216,-0.096,0.115,4.410,-2.015,-0.532,0.154,2.017,0.140,-0.527,0.178,0.158,-89.646,0.456,0.011,1.045,-0.008,0.019,-0.001,0.001,0.024,-0.025,13.156,0.353,1.000,0.000,1,1,1,1,-0.002,0.000,0.151,0.508,-0.009,0.000,-0.002,-0.003,0.508,0.009,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,1.276,678.886,-1.424,736.161,-1.438,-0.102,0.131,5.210,-2.218,-0.059,0.167,2.220,0.148,-0.054,0.226,0.142,-89.512,0.480,-0.157,1.340,-0.007,0.022,-0.004,0.008,0.026,-0.026,12.615,0.340,1.000,0.000,1,1,1,1,-0.002,0.000,0.142,0.431,-0.009,0.000,-0.002,-0.002,0.431,0.009,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,1.388,678.713,-1.434,736.176,-1.652,-0.075,0.146,5.978,-2.148,0.271,0.143,2.149,0.120,0.275,0.267,0.112,-89.362,0.410,-0.300,1.494,-0.006,0.024,-0.005,0.012,0.022,-0.017,11.825,0.320,1.000,0.000,1,1,1,1,-0.004,-0.003,0.119,-0.112,-0.008,0.001,-0.002,-0.002,0.119,0.008,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,1.496,678.523,-1.440,736.192,-1.874,-0.037,0.159,6.773,-2.220,0.371,0.135,2.221,0.106,0.374,0.298,0.077,-89.208,0.308,-0.351,1.544,-0.004,0.026,-0.006,0.014,0.016,-0.003,11.268,0.306,1.000,0.000,1,1,1,1,-0.003,-0.001,0.125,0.260,-0.007,0.001,-0.002,-0.002,0.260,0.007,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,1.600,678.317,-1.442,736.210,-2.069,-0.008,0.171,7.474,-1.948,0.289,0.116,1.949,0.086,0.291,0.320,0.045,-89.050,0.214,-0.322,1.581,-0.003,0.027,-0.005,0.013,0.012,0.008,10.591,0.289,1.000,0.000,1,1,1,1,-0.003,-0.001,0.122,0.176,-0.006,0.001,-0.002,-0.002,0.176,0.006,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,1.712,678.071,-1.442,736.229,-2.301,0.013,0.184,8.312,-2.323,0.211,0.127,2.325,0.083,0.212,0.334,0.019,-88.873,0.146,-0.262,1.767,-0.002,0.028,-0.003,0.014,0.009,0.019,9.851,0.270,1.000,0.000,1,1,1,1,-0.004,-0.002,0.121,0.091,-0.006,0.000,-0.002,-0.002,0.121,0.006,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,1.824,677.802,-1.440,736.251,-2.514,0.019,0.197,9.077,-2.123,0.065,0.139,2.125,0.091,0.065,0.341,0.005,-88.690,0.066,-0.133,1.827,0.000,0.029,-0.001,0.012,0.009,0.020,9.167,0.252,1.000,0.000,1,1,1,1,-0.004,-0.002,0.121,0.089,-0.005,0.001,-0.002,-0.002,0.121,0.005,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,1.936,677.509,-1.438,736.274,-2.725,0.017,0.213,9.840,-2.113,-0.017,0.153,2.117,0.098,-0.018,0.341,0.005,-88.503,-0.002,-0.004,1.873,0.001,0.030,0.001,0.010,0.009,0.018,8.762,0.242,1.000,0.000,1,1,1,1,-0.004,-0.002,0.122,0.088,-0.005,0.000,-0.002,-0.003,0.122,0.005,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,2.048,677.192,-1.436,736.298,-2.936,0.012,0.227,10.602,-2.113,-0.054,0.143,2.116,0.080,-0.054,0.335,0.015,-88.312,-0.060,0.097,1.912,0.001,0.030,0.002,0.009,0.003,0.012,8.156,0.226,1.000,0.000,1,1,1,1,-0.004,-0.002,0.123,0.088,-0.004,0.001,-0.003,-0.003,0.123,0.004,0.000,0
20260703_203049,case01_baseline_boxes,6,294.5,1.000,2.160,676.851,-1.435,736.325,-3.147,0.006,0.242,11.363,-2.108,-0.057,0.151,2.112,0.081,-0.056,0.324,0.030,-88.119,-0.110,0.153,1.928,0.002,0.030,0.003,0.007,0.002,0.005,7.564,0.211,1.000,0.000,1,1,1,1,-0.004,-0.002,0.124,0.088,-0.003,0.001,-0.003,-0.003,0.124,0.003,0.000,0
