run_id,case_name,cargo_count,total_mass_kg,secured_frac,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,SpeedKmh,AccX,AccY,AccZ,LongAcc,LatAcc,VertAcc,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AngVelX,AngVelY,AngVelZ,AngAccX,AngAccY,AngAccZ,SteerAngle,TargetSteer,Throttle,Brake,FL_Grounded,FR_Grounded,RL_Grounded,RR_Grounded,FL_ForwardSlip,FR_ForwardSlip,RL_ForwardSlip,RR_ForwardSlip,FL_SideSlip,FR_SideSlip,RL_SideSlip,RR_SideSlip,MaxForwardSlip,MaxSideSlip,RolloverRisk,IsRollover
20260703_202909,case01_baseline_boxes,6,294.5,1.000,0.637,679.395,-1.502,736.112,-0.146,0.448,0.014,1.696,-1.619,0.957,0.080,1.618,0.080,0.958,-0.006,0.056,-89.997,0.154,0.380,0.042,-0.003,0.002,0.006,0.003,0.022,-0.036,12.800,0.380,1.000,0.000,1,1,1,1,-0.004,-0.002,0.737,-1.083,-0.009,-0.008,-0.001,-0.001,1.083,0.009,0.000,0
20260703_202909,case01_baseline_boxes,6,294.5,1.000,0.738,679.369,-1.458,736.115,-0.346,0.397,0.034,1.900,-2.002,-0.503,0.205,2.002,0.204,-0.500,0.014,0.087,-89.971,0.200,0.311,0.257,-0.004,0.006,0.005,-0.009,0.039,-0.014,14.429,0.384,1.000,0.000,1,1,1,1,-0.003,-0.002,0.667,0.736,-0.008,-0.003,-0.003,-0.003,0.736,0.008,0.000,0
20260703_202909,case01_baseline_boxes,6,294.5,1.000,0.838,679.324,-1.426,736.119,-0.551,0.259,0.055,2.200,-2.049,-1.383,0.203,2.052,0.199,-1.379,0.042,0.114,-89.925,0.276,0.268,0.460,-0.006,0.010,0.004,-0.016,0.037,-0.004,14.458,0.385,1.000,0.000,1,1,1,1,-0.006,-0.003,0.342,-0.628,-0.012,-0.006,-0.002,-0.003,0.628,0.012,0.000,0
20260703_202909,case01_baseline_boxes,6,294.5,1.000,0.946,679.252,-1.407,736.126,-0.776,0.091,0.077,2.826,-2.250,-1.680,0.224,2.255,0.215,-1.675,0.081,0.139,-89.853,0.396,0.253,0.718,-0.007,0.013,0.004,-0.015,0.035,-0.009,14.271,0.381,1.000,0.000,1,1,1,1,-0.004,0.000,0.223,0.517,-0.011,-0.003,-0.003,-0.003,0.517,0.011,0.000,0
20260703_202909,case01_baseline_boxes,6,294.5,1.000,1.046,679.164,-1.404,736.135,-0.974,-0.025,0.096,3.524,-1.980,-1.166,0.189,1.984,0.178,-1.161,0.125,0.155,-89.768,0.433,0.158,0.858,-0.008,0.017,0.002,-0.008,0.031,-0.018,13.912,0.372,1.000,0.000,1,1,1,1,-0.002,0.001,0.237,0.566,-0.010,-0.001,-0.003,-0.003,0.566,0.010,0.000,0
20260703_202909,case01_baseline_boxes,6,294.5,1.000,1.150,679.052,-1.411,736.145,-1.178,-0.089,0.112,4.271,-2.039,-0.637,0.158,2.042,0.144,-0.632,0.172,0.158,-89.661,0.473,0.034,1.062,-0.008,0.019,-0.001,0.000,0.024,-0.024,13.239,0.355,1.000,0.000,1,1,1,1,-0.004,-0.002,0.146,0.143,-0.011,-0.002,-0.002,-0.002,0.146,0.011,0.000,0
20260703_202909,case01_baseline_boxes,6,294.5,1.000,1.258,678.912,-1.422,736.158,-1.398,-0.104,0.129,5.069,-2.207,-0.145,0.170,2.208,0.152,-0.140,0.219,0.146,-89.535,0.471,-0.128,1.268,-0.007,0.022,-0.003,0.007,0.027,-0.027,12.721,0.342,1.000,0.000,1,1,1,1,-0.003,-0.001,0.140,0.178,-0.010,-0.001,-0.002,-0.002,0.178,0.010,0.000,0
20260703_202909,case01_baseline_boxes,6,294.5,1.000,1.370,678.743,-1.432,736.173,-1.613,-0.081,0.143,5.836,-2.144,0.229,0.149,2.145,0.127,0.233,0.261,0.118,-89.387,0.423,-0.281,1.472,-0.006,0.024,-0.005,0.012,0.023,-0.019,12.064,0.326,1.000,0.000,1,1,1,1,-0.004,-0.003,0.119,-0.107,-0.009,0.000,-0.002,-0.002,0.119,0.009,0.000,0
20260703_202909,case01_baseline_boxes,6,294.5,1.000,1.477,678.556,-1.439,736.190,-1.835,-0.044,0.157,6.633,-2.224,0.367,0.131,2.225,0.104,0.370,0.294,0.083,-89.235,0.323,-0.346,1.526,-0.005,0.025,-0.006,0.014,0.015,-0.006,11.372,0.309,1.000,0.000,1,1,1,1,-0.003,-0.001,0.126,0.263,-0.008,0.001,-0.002,-0.002,0.263,0.008,0.000,0
20260703_202909,case01_baseline_boxes,6,294.5,1.000,1.582,678.354,-1.442,736.207,-2.047,-0.011,0.170,7.396,-2.121,0.331,0.130,2.122,0.098,0.332,0.316,0.050,-89.077,0.229,-0.331,1.574,-0.003,0.027,-0.005,0.014,0.015,0.007,10.638,0.290,1.000,0.000,1,1,1,1,-0.004,-0.002,0.119,-0.021,-0.007,0.001,-0.002,-0.002,0.119,0.007,0.000,0
