run_id,case_name,cargo_count,total_mass_kg,secured_frac,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,SpeedKmh,AccX,AccY,AccZ,LongAcc,LatAcc,VertAcc,Roll,Pitch,Yaw,RollRate,PitchRate,YawRate,AngVelX,AngVelY,AngVelZ,AngAccX,AngAccY,AngAccZ,SteerAngle,TargetSteer,Throttle,Brake,FL_Grounded,FR_Grounded,RL_Grounded,RR_Grounded,FL_ForwardSlip,FR_ForwardSlip,RL_ForwardSlip,RR_ForwardSlip,FL_SideSlip,FR_SideSlip,RL_SideSlip,RR_SideSlip,MaxForwardSlip,MaxSideSlip,RolloverRisk,IsRollover
20260703_203930,case01_baseline_boxes,6,294.5,1.000,0.628,679.396,-1.506,736.112,-0.131,0.445,0.011,1.670,-1.473,0.927,0.056,1.472,0.056,0.929,-0.008,0.053,-89.998,0.138,0.346,0.031,-0.003,0.002,0.007,0.003,0.021,-0.033,11.200,0.379,1.000,0.000,1,1,1,1,-0.004,-0.003,0.325,-1.053,-0.007,-0.005,-0.002,-0.002,1.053,0.007,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,0.732,679.372,-1.461,736.114,-0.346,0.397,0.034,1.900,-2.148,-0.474,0.228,2.149,0.227,-0.471,0.013,0.085,-89.973,0.203,0.328,0.247,-0.004,0.006,0.005,-0.010,0.041,-0.017,14.429,0.384,1.000,0.000,1,1,1,1,-0.003,-0.002,0.667,0.736,-0.008,-0.003,-0.003,-0.003,0.736,0.008,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,0.832,679.327,-1.427,736.119,-0.551,0.259,0.055,2.200,-2.049,-1.383,0.203,2.052,0.199,-1.379,0.040,0.112,-89.929,0.271,0.270,0.448,-0.006,0.010,0.004,-0.016,0.037,-0.004,14.458,0.385,1.000,0.000,1,1,1,1,-0.006,-0.003,0.342,-0.628,-0.012,-0.006,-0.002,-0.003,0.628,0.012,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,0.936,679.259,-1.408,736.125,-0.757,0.105,0.075,2.764,-2.061,-1.538,0.204,2.065,0.197,-1.534,0.077,0.137,-89.861,0.374,0.247,0.675,-0.007,0.013,0.004,-0.014,0.030,-0.007,14.301,0.381,1.000,0.000,1,1,1,1,-0.005,-0.003,0.011,0.304,-0.012,-0.003,-0.003,-0.003,0.304,0.012,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,1.036,679.173,-1.404,736.134,-0.957,-0.016,0.094,3.462,-2.001,-1.214,0.190,2.005,0.180,-1.209,0.120,0.154,-89.777,0.430,0.169,0.842,-0.008,0.016,0.002,-0.008,0.032,-0.017,13.949,0.373,1.000,0.000,1,1,1,1,-0.004,-0.001,0.075,0.427,-0.011,-0.002,-0.003,-0.003,0.427,0.011,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,1.140,679.063,-1.410,736.144,-1.150,-0.085,0.110,4.171,-1.932,-0.691,0.159,1.934,0.146,-0.686,0.168,0.159,-89.672,0.474,0.048,1.050,-0.008,0.019,0.000,-0.001,0.028,-0.024,13.281,0.356,1.000,0.000,1,1,1,1,-0.005,-0.003,0.144,-0.318,-0.011,-0.002,-0.002,-0.002,0.318,0.011,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,1.248,678.926,-1.421,736.157,-1.376,-0.104,0.127,4.987,-2.254,-0.191,0.172,2.256,0.154,-0.186,0.215,0.148,-89.547,0.472,-0.112,1.248,-0.007,0.021,-0.003,0.006,0.026,-0.027,12.778,0.344,1.000,0.000,1,1,1,1,-0.004,-0.002,0.141,-0.002,-0.010,-0.001,-0.002,-0.002,0.141,0.010,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,1.360,678.758,-1.432,736.172,-1.597,-0.084,0.142,5.781,-2.218,0.205,0.152,2.219,0.129,0.210,0.258,0.121,-89.401,0.431,-0.270,1.462,-0.006,0.024,-0.005,0.012,0.022,-0.020,12.131,0.327,1.000,0.000,1,1,1,1,-0.003,-0.001,0.133,0.179,-0.009,0.000,-0.002,-0.002,0.179,0.009,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,1.468,678.574,-1.439,736.188,-1.810,-0.047,0.155,6.544,-2.131,0.363,0.130,2.132,0.104,0.366,0.291,0.086,-89.249,0.331,-0.343,1.519,-0.005,0.025,-0.006,0.014,0.018,-0.008,11.423,0.310,1.000,0.000,1,1,1,1,-0.004,-0.003,0.118,-0.119,-0.008,0.000,-0.002,-0.002,0.119,0.008,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,1.572,678.374,-1.442,736.205,-2.030,-0.014,0.169,7.335,-2.200,0.339,0.133,2.201,0.100,0.341,0.315,0.053,-89.093,0.236,-0.334,1.564,-0.003,0.027,-0.005,0.014,0.013,0.006,10.682,0.291,1.000,0.000,1,1,1,1,-0.003,-0.001,0.123,0.204,-0.006,0.002,-0.002,-0.002,0.204,0.006,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,1.680,678.145,-1.442,736.223,-2.224,0.007,0.178,8.033,-1.937,0.209,0.098,1.939,0.062,0.210,0.331,0.025,-88.925,0.162,-0.278,1.678,-0.002,0.027,-0.004,0.012,0.007,0.014,9.993,0.274,1.000,0.000,1,1,1,1,-0.004,-0.002,0.121,0.103,-0.006,0.001,-0.002,-0.002,0.121,0.006,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,1.784,677.902,-1.440,736.243,-2.436,0.018,0.193,8.799,-2.122,0.106,0.151,2.125,0.105,0.106,0.339,0.009,-88.757,0.084,-0.164,1.679,-0.001,0.029,-0.002,0.012,0.013,0.020,9.565,0.256,1.000,0.000,1,1,1,1,-0.004,-0.002,0.121,0.089,-0.006,0.000,-0.002,-0.002,0.121,0.006,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,1.896,677.617,-1.438,736.265,-2.648,0.019,0.207,9.563,-2.119,0.007,0.135,2.122,0.082,0.007,0.342,0.004,-88.571,0.022,-0.048,1.862,0.000,0.029,0.000,0.011,0.006,0.019,8.928,0.246,1.000,0.000,1,1,1,1,-0.004,-0.002,0.122,0.088,-0.005,0.000,-0.002,-0.002,0.122,0.005,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,2.000,677.332,-1.437,736.287,-2.840,0.015,0.220,10.256,-1.921,-0.040,0.131,1.924,0.076,-0.041,0.338,0.010,-88.394,-0.035,0.058,1.762,0.001,0.030,0.002,0.008,0.004,0.013,8.331,0.231,1.000,0.000,1,1,1,1,-0.004,-0.002,0.123,0.088,-0.004,0.001,-0.003,-0.003,0.123,0.004,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,2.112,677.000,-1.435,736.313,-3.070,0.008,0.237,11.086,-2.300,-0.064,0.169,2.304,0.096,-0.063,0.329,0.023,-88.201,-0.090,0.135,1.931,0.002,0.030,0.002,0.009,0.004,0.009,7.696,0.214,1.000,0.000,1,1,1,1,-0.004,-0.002,0.124,0.088,-0.002,0.002,-0.003,-0.003,0.124,0.003,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,2.216,676.671,-1.435,736.338,-3.262,0.004,0.251,11.777,-1.914,-0.045,0.143,1.918,0.076,-0.044,0.317,0.039,-88.022,-0.124,0.154,1.796,0.002,0.030,0.003,0.006,0.001,0.001,7.336,0.205,1.000,0.000,1,1,1,1,-0.004,-0.002,0.125,0.088,-0.003,0.001,-0.003,-0.003,0.125,0.003,0.000,0
20260703_203930,case01_baseline_boxes,6,294.5,1.000,2.323,676.308,-1.434,736.366,-3.472,0.000,0.267,12.536,-2.102,-0.034,0.156,2.106,0.077,-0.032,0.300,0.054,-87.836,-0.163,0.152,1.858,0.003,0.030,0.002,0.005,-0.002,-0.004,6.800,0.191,1.000,0.000,1,1,1,1,-0.003,-0.002,0.125,0.087,-0.002,0.001,-0.003,-0.003,0.125,0.003,0.000,0
